Variable,Importancia
Feature_9,0.44568842754969396
Feature_7,0.11028422508596684
Feature_10,0.10555703356950179
Feature_8,0.10313596921370316
Feature_2,0.05068509916065877
Feature_11,0.044602978868239315
Feature_0,0.025260339864124032
Feature_1,0.018498888104439826
Feature_16,0.016421709884178907
Feature_24,0.011478237250533646
Feature_18,0.009016204133718335
Feature_26,0.0068357538055509506
Feature_29,0.0060965375497018335
Feature_19,0.005582101281730808
Feature_25,0.003996312145882212
Feature_4,0.00369963355795082
Feature_13,0.003413448726902245
Feature_6,0.002810089858355942
Feature_35,0.002670862536918908
Feature_31,0.002448633346738635
Feature_3,0.00235054358044829
Feature_32,0.0020079151467709768
Feature_5,0.0017271425808348055
Feature_37,0.0016008137481149543
Feature_17,0.0014736743198346708
Feature_20,0.0013682725278701478
Feature_14,0.001322300163145953
Feature_30,0.0013202573257797378
Feature_39,0.0013120141740781428
Feature_36,0.0012130283488204518
Feature_34,0.0012065713020591592
Feature_23,0.0011999812977259768
Feature_38,0.0007589453250144206
Feature_15,0.0006991354018275317
Feature_33,0.000525804219545504
Feature_27,0.0004990687430579585
Feature_21,0.00045434492721197866
Feature_22,0.0004090852359512318
Feature_28,0.0002831004911803017
Feature_12,8.551564623684786e-05
Feature_40,0.0
